id,age,year,wrkstat,hrs1,marital,degree,sphrs1,postlife,sex,SIBS,agekdbrn,othlang,born,neisafe,hsbio,hschem,tspac,nextgen,grass,hrlax,colsci,fmi,numpets,trust,tvhours,sop,ssi,sphrs2,educ,moos,faos,realrinc,wordsum,rhs,Male,pres
756,19.0,2018,working fulltime,54.0,5.0,high school,,yes,1,1.0,,no,yes,somewhat unsafe,,,,,legal,2.0,,45400.0,6.0,can't be too careful,,53.0,41.0,,11.0,53.0,50.0,,,,male,35.0
1704,19.0,2018,working fulltime,50.0,5.0,high school,,,2,6.0,,no,yes,somewhat unsafe,yes,no,,agree,,0.0,no,1589.0,,,5.0,,,,12.0,69.0,28.0,908.0,6.0,,female,24.0
146,19.0,2018,working fulltime,45.0,5.0,high school,,no,1,1.0,,yes,yes,somewhat unsafe,yes,yes,too much,disagree,,8.0,no,30645.0,,,0.0,,,,12.0,48.0,,,6.0,fair,male,33.0
171,19.0,2018,working fulltime,45.0,5.0,high school,,yes,1,0.0,,no,yes,somewhat safe,,,too little,,not legal,7.0,,30645.0,1.0,can't be too careful,,,,,12.0,,51.0,3405.0,,,male,24.0
907,19.0,2018,working fulltime,40.0,5.0,high school,,yes,2,3.0,,yes,yes,very unsafe,yes,yes,too much,agree,legal,0.0,no,2497.0,,can't be too careful,4.0,,,,12.0,35.0,,908.0,4.0,excellent,female,21.0
802,19.0,2018,working fulltime,38.0,1.0,high school,50.0,yes,2,5.0,,no,yes,somewhat safe,yes,yes,too much,agree,not legal,6.0,no,,,can't be too careful,1.0,51.0,61.0,,12.0,,32.0,10782.0,7.0,excellent,female,53.0
917,19.0,2018,working parttime,28.0,5.0,high school,,yes,2,3.0,,yes,yes,somewhat safe,,,,,legal,,,63560.0,1.0,can't be too careful,,,,,11.0,53.0,17.0,,,,female,33.0
711,19.0,2018,working parttime,22.0,5.0,lt high school,,,1,4.0,,yes,no,somewhat safe,yes,no,,agree,,1.0,no,5107.0,,,0.0,,,,9.0,35.0,27.0,,5.0,good,male,24.0
939,19.0,2018,working parttime,20.0,5.0,high school,,yes,2,3.0,,yes,yes,very safe,yes,no,about right,strongly agree,,20.0,yes,24970.0,,,0.0,,,,13.0,33.0,31.0,908.0,6.0,excellent,female,38.0
1104,19.0,2018,working parttime,20.0,5.0,high school,,no,1,3.0,,no,yes,somewhat unsafe,yes,yes,about right,agree,,2.0,no,9647.0,,,0.0,,,,12.0,45.0,,,8.0,,male,25.0
1017,19.0,2018,working fulltime,,5.0,high school,,yes,2,1.0,,no,yes,very safe,yes,yes,too little,agree,,,yes,119879.0,,,2.0,,,,13.0,59.0,63.0,1589.0,6.0,good,female,34.0
721,19.0,2018,working parttime,,5.0,lt high school,,yes,2,4.0,,no,yes,very safe,,,about right,,legal,,,37455.0,4.0,can't be too careful,,,,,11.0,41.0,28.0,908.0,,excellent,female,35.0
820,19.0,2018,"unempl, laid off",,5.0,high school,,yes,1,6.0,,no,yes,somewhat safe,,,too much,,legal,,,20430.0,0.0,can't be too careful,,,,,12.0,46.0,,2951.0,,excellent,male,50.0
266,19.0,2018,school,,5.0,high school,,yes,1,1.0,,yes,yes,very safe,no,yes,about right,strongly agree,legal,,yes,24970.0,,can't be too careful,1.0,,,,13.0,49.0,54.0,,6.0,good,male,
456,19.0,2018,school,,5.0,high school,,yes,1,1.0,,yes,yes,somewhat safe,yes,yes,about right,strongly agree,,,yes,30645.0,,,1.0,,,,13.0,,26.0,,7.0,excellent,male,
475,19.0,2018,school,,5.0,lt high school,,yes,2,4.0,17.0,yes,yes,very safe,,,,,legal,,,4086.0,3.0,can't be too careful,,,,,9.0,,,,,,female,
1617,19.0,2018,school,,5.0,high school,,yes,1,1.0,,yes,yes,very safe,,,too little,,legal,,,45400.0,6.0,can trust,,,,,12.0,38.0,49.0,908.0,,excellent,male,31.0
1780,19.0,2018,school,,5.0,high school,,no,2,3.0,,yes,yes,somewhat safe,yes,no,about right,strongly agree,legal,,no,20430.0,,can't be too careful,1.0,,,,13.0,35.0,31.0,,4.0,fair,female,28.0
2009,19.0,2018,school,,5.0,high school,,yes,2,1.0,,no,yes,somewhat safe,,,,,legal,,,2497.0,0.0,can't be too careful,,,,,12.0,,50.0,,,,female,
2010,19.0,2018,school,,5.0,high school,,yes,2,2.0,,yes,yes,somewhat safe,yes,yes,about right,agree,legal,,yes,4086.0,,can't be too careful,2.0,,,,12.0,23.0,,,4.0,good,female,
2011,19.0,2018,school,,5.0,high school,,no,1,2.0,,no,yes,somewhat safe,yes,no,,strongly agree,,,yes,227.0,,,2.0,,,,12.0,39.0,49.0,,8.0,,male,
2149,19.0,2018,school,,5.0,lt high school,,yes,1,2.0,,no,yes,very safe,yes,yes,,agree,not legal,,yes,54480.0,,can't be too careful,1.0,,,,11.0,31.0,46.0,,4.0,good,male,
2343,19.0,2018,school,,5.0,high school,,no,1,3.0,,no,yes,somewhat safe,,,about right,,legal,,,7377.0,2.0,can't be too careful,,,,,12.0,39.0,35.0,,,excellent,male,
649,19.0,2018,keeping house,,5.0,lt high school,,yes,2,7.0,,no,no,somewhat safe,,,,strongly agree,not legal,,no,8512.0,,can't be too careful,3.0,31.0,23.0,,6.0,,46.0,5107.0,3.0,,female,24.0
717,19.0,2018,keeping house,,5.0,high school,,yes,1,1.0,,yes,no,very safe,,,too much,,legal,,,72640.0,0.0,can't be too careful,,,,,13.0,,62.0,,,good,male,
2159,20.0,2018,working fulltime,65.0,5.0,high school,,yes,2,5.0,,yes,yes,somewhat safe,yes,yes,about right,agree,,2.0,no,227.0,,,2.0,,,,13.0,21.0,45.0,227.0,7.0,good,female,31.0
1915,20.0,2018,working fulltime,60.0,5.0,high school,,yes,1,4.0,,no,yes,very unsafe,,,,,legal,5.0,,8512.0,0.0,can't be too careful,,,,,11.0,24.0,,,,,male,43.0
1770,20.0,2018,working fulltime,44.0,5.0,high school,,no,1,5.0,,no,yes,somewhat safe,yes,yes,too much,agree,legal,6.0,yes,72640.0,,can't be too careful,1.0,,,,13.0,31.0,53.0,,6.0,excellent,male,35.0
735,20.0,2018,working fulltime,42.0,5.0,high school,,yes,2,1.0,,no,yes,very safe,yes,yes,about right,agree,,4.0,yes,45400.0,,,2.0,,,,16.0,39.0,58.0,3405.0,6.0,good,female,60.0
30,20.0,2018,working parttime,40.0,5.0,high school,,yes,1,3.0,,yes,yes,very safe,,,about right,,,6.0,,54480.0,0.0,can't be too careful,,,,,14.0,64.0,45.0,6242.0,,excellent,male,31.0
403,20.0,2018,working fulltime,38.0,5.0,high school,,yes,2,7.0,,yes,yes,somewhat safe,,,about right,,legal,8.0,,,5.0,depends,,,,,12.0,31.0,31.0,908.0,,,female,31.0
1615,20.0,2018,working fulltime,36.0,5.0,high school,,yes,2,1.0,,yes,yes,very safe,,,about right,,not legal,6.0,,,2.0,can trust,,,,,14.0,64.0,73.0,908.0,,good,female,74.0
158,20.0,2018,working parttime,30.0,5.0,high school,,yes,2,3.0,,yes,yes,somewhat unsafe,yes,yes,,strongly agree,,1.0,yes,20430.0,,,1.0,,,,14.0,33.0,35.0,2951.0,4.0,good,female,61.0
1587,20.0,2018,working parttime,27.0,5.0,high school,,yes,1,6.0,,no,yes,somewhat unsafe,yes,no,too little,agree,legal,4.0,no,45400.0,,can't be too careful,3.0,,,,13.0,64.0,39.0,,6.0,good,male,24.0
2303,20.0,2018,"unempl, laid off",,5.0,high school,,yes,2,7.0,,no,yes,very safe,,,about right,,legal,,,4086.0,12.0,can't be too careful,,,,,12.0,28.0,,,,excellent,female,
604,20.0,2018,school,,5.0,high school,,yes,1,2.0,,yes,yes,very safe,yes,yes,too little,strongly disagree,,,yes,4086.0,,,2.0,,,,12.0,35.0,38.0,227.0,4.0,excellent,male,40.0
942,20.0,2018,school,,5.0,lt high school,,yes,1,2.0,,yes,yes,very safe,,,,,legal,,,227.0,0.0,can trust,,,,,11.0,,28.0,,,,male,
1351,20.0,2018,school,,5.0,high school,,yes,1,3.0,,no,yes,very safe,,,too little,,legal,,,,0.0,can trust,,,,,13.0,,50.0,,,excellent,male,
2127,20.0,2018,school,,5.0,high school,,yes,2,1.0,,no,yes,very safe,,,,,legal,,,24970.0,2.0,can't be too careful,,,,,13.0,47.0,49.0,227.0,,,female,35.0
2119,20.0,2018,keeping house,,1.0,lt high school,48.0,yes,2,13.0,18.0,no,yes,very safe,,,,,legal,,,5107.0,15.0,can't be too careful,,29.0,20.0,,10.0,48.0,,,,,female,
1671,21.0,2018,working fulltime,48.0,5.0,high school,,yes,1,2.0,,no,yes,very safe,yes,no,,agree,,1.0,no,24970.0,,,4.0,,,,12.0,38.0,,17025.0,5.0,good,male,32.0
1057,21.0,2018,working fulltime,44.0,5.0,lt high school,,yes,1,0.0,,no,yes,very safe,,,too much,,not legal,5.0,,14755.0,0.0,can't be too careful,,,,,9.0,38.0,,6242.0,,good,male,38.0
2253,21.0,2018,working fulltime,44.0,5.0,high school,,yes,2,8.0,21.0,no,yes,very safe,yes,no,,strongly agree,,6.0,no,24970.0,,,10.0,32.0,33.0,,12.0,27.0,,,4.0,excellent,female,48.0
2298,21.0,2018,working fulltime,42.0,5.0,high school,,yes,2,5.0,,no,yes,very safe,yes,yes,too much,disagree,,5.0,no,4086.0,,,0.0,,,,13.0,18.0,,1589.0,3.0,excellent,female,25.0
1884,21.0,2018,working fulltime,40.0,5.0,high school,,yes,1,4.0,,yes,yes,somewhat unsafe,yes,yes,about right,agree,,4.0,no,2951.0,,,0.0,,,,12.0,,,227.0,5.0,,male,29.0
2262,21.0,2018,working fulltime,40.0,5.0,high school,,yes,2,5.0,,yes,yes,somewhat safe,yes,yes,too little,strongly agree,,5.0,yes,10782.0,,,7.0,,,,16.0,31.0,28.0,10782.0,3.0,excellent,female,45.0
1125,21.0,2018,working parttime,36.0,5.0,high school,,no,1,1.0,,yes,yes,somewhat safe,yes,yes,about right,agree,,15.0,yes,8512.0,,,2.0,,,,15.0,51.0,65.0,2043.0,6.0,excellent,male,35.0
1426,21.0,2018,working parttime,36.0,5.0,high school,,yes,2,5.0,,no,yes,very safe,,,,,not legal,5.0,,,3.0,can trust,0.0,,,,15.0,38.0,,2497.0,8.0,,female,31.0
75,21.0,2018,working fulltime,35.0,5.0,high school,,yes,1,3.0,,no,yes,very safe,,,,,legal,3.0,,45400.0,2.0,can't be too careful,,,,,14.0,64.0,65.0,3405.0,,,male,45.0
466,21.0,2018,working parttime,30.0,5.0,high school,,yes,2,5.0,,yes,yes,very safe,,,,,legal,5.0,,54480.0,2.0,can't be too careful,,,,,14.0,,48.0,3405.0,,excellent,female,23.0
1127,21.0,2018,working parttime,24.0,5.0,high school,,yes,2,4.0,,no,yes,very safe,yes,yes,too much,strongly agree,legal,5.0,yes,2043.0,,can't be too careful,2.0,,,,15.0,,43.0,2043.0,7.0,excellent,female,
554,21.0,2018,working parttime,20.0,5.0,high school,,no,2,3.0,,yes,yes,very safe,,,,,legal,2.0,,37455.0,1.0,can't be too careful,,,,,12.0,36.0,36.0,2951.0,,,female,31.0
688,21.0,2018,working parttime,20.0,1.0,high school,10.0,yes,2,2.0,18.0,no,yes,somewhat safe,yes,no,,agree,,4.0,no,,,,4.0,22.0,14.0,,11.0,39.0,,5107.0,7.0,good,female,28.0
894,21.0,2018,working parttime,16.0,5.0,high school,,yes,1,4.0,,yes,yes,somewhat safe,,,,,legal,14.0,,17025.0,0.0,can trust,,,,,15.0,55.0,,,,,male,
674,21.0,2018,"unempl, laid off",,5.0,high school,,no,2,1.0,,no,yes,very safe,yes,yes,,strongly agree,,,yes,2043.0,,,2.0,43.0,57.0,,15.0,46.0,47.0,2043.0,5.0,,female,31.0
