id,age,year,wrkstat,hrs1,marital,degree,sphrs1,postlife,sex,SIBS,agekdbrn,othlang,born,neisafe,hsbio,hschem,tspac,nextgen,grass,hrlax,colsci,fmi,numpets,trust,tvhours,sop,ssi,sphrs2,educ,moos,faos,realrinc,wordsum,rhs,Male,pres
1292,30.0,2018,working fulltime,40.0,5.0,high school,,yes,1,3.0,,no,yes,somewhat safe,,,too much,,legal,3.0,,20430.0,2.0,can't be too careful,,48.0,26.0,,12.0,28.0,45.0,9647.0,,good,male,28.0
1470,30.0,2018,working fulltime,40.0,5.0,high school,,yes,2,2.0,18.0,no,yes,somewhat safe,yes,yes,too much,strongly agree,legal,1.0,yes,3405.0,,can't be too careful,1.0,,,,13.0,38.0,66.0,227.0,6.0,good,female,58.0
1649,30.0,2018,working fulltime,40.0,5.0,high school,,yes,2,3.0,,no,yes,very safe,,,,,legal,5.0,,12485.0,0.0,can't be too careful,,,,,12.0,48.0,35.0,12485.0,,,female,47.0
2126,30.0,2018,working fulltime,40.0,5.0,high school,,yes,2,2.0,,no,yes,very safe,,,,,legal,4.0,,10782.0,4.0,can't be too careful,,,,,14.0,42.0,,,,excellent,female,31.0
2193,30.0,2018,working fulltime,40.0,5.0,bachelor,,yes,2,4.0,,no,yes,very safe,yes,yes,,agree,,2.0,yes,6242.0,,,,,,,19.0,52.0,25.0,6242.0,7.0,,female,35.0
581,30.0,2018,working fulltime,37.0,5.0,graduate,,yes,2,1.0,,no,yes,somewhat safe,,,,,legal,3.0,,24970.0,3.0,can't be too careful,4.0,,,,20.0,49.0,,24970.0,8.0,,female,62.0
387,30.0,2018,working fulltime,35.0,5.0,bachelor,,,2,2.0,,yes,yes,very safe,,,,,legal,3.0,,30645.0,0.0,can trust,1.0,,,,16.0,45.0,60.0,30645.0,8.0,,female,65.0
2263,30.0,2018,working fulltime,35.0,5.0,lt high school,,yes,1,1.0,21.0,no,no,somewhat safe,,,,,legal,1.0,,2497.0,0.0,can't be too careful,,22.0,14.0,,6.0,,37.0,2497.0,,,male,37.0
216,30.0,2018,working parttime,30.0,1.0,junior college,45.0,yes,2,5.0,28.0,yes,no,somewhat safe,yes,yes,about right,agree,,1.0,no,14755.0,,,2.0,44.0,28.0,,15.0,33.0,31.0,8512.0,8.0,good,female,55.0
770,30.0,2018,working parttime,24.0,5.0,bachelor,,no,1,3.0,,no,yes,somewhat safe,,,,,legal,5.0,,14755.0,0.0,can trust,,,,,16.0,47.0,38.0,5107.0,,,male,60.0
1933,30.0,2018,working parttime,15.0,4.0,lt high school,,no,2,3.0,18.0,no,no,somewhat unsafe,,,,,not legal,3.0,,,0.0,can't be too careful,2.0,,,,9.0,,41.0,,4.0,,female,25.0
503,30.0,2018,temp not working,,1.0,bachelor,,yes,2,3.0,29.0,no,yes,very safe,,,about right,,legal,3.0,,45400.0,2.0,can trust,,31.0,37.0,40.0,16.0,28.0,45.0,,,,female,55.0
2252,30.0,2018,temp not working,,1.0,graduate,65.0,yes,2,5.0,24.0,no,yes,very safe,yes,yes,about right,agree,,1.0,yes,45400.0,,,1.0,31.0,39.0,,19.0,40.0,36.0,24970.0,6.0,excellent,female,61.0
1101,30.0,2018,"unempl, laid off",,5.0,high school,,yes,1,5.0,,no,yes,somewhat safe,no,no,too little,strongly agree,,,no,14755.0,,,0.0,48.0,24.0,,9.0,44.0,40.0,2497.0,3.0,fair,male,33.0
1302,30.0,2018,"unempl, laid off",,1.0,junior college,70.0,no,2,1.0,20.0,no,yes,very safe,yes,yes,,strongly agree,,,yes,54480.0,,,1.0,64.0,82.0,,15.0,46.0,,24970.0,8.0,excellent,female,46.0
1353,30.0,2018,"unempl, laid off",,5.0,high school,,,2,6.0,,yes,yes,very safe,yes,yes,too little,agree,legal,,yes,37455.0,,can trust,5.0,39.0,43.0,,15.0,33.0,,24970.0,9.0,good,female,46.0
1278,30.0,2018,school,,1.0,graduate,,yes,2,3.0,,yes,yes,somewhat safe,,,,,legal,,,20430.0,1.0,can trust,,70.0,83.0,,20.0,74.0,80.0,10782.0,,,female,74.0
1445,30.0,2018,school,,5.0,bachelor,,no,2,3.0,,yes,yes,somewhat safe,,,,,legal,,,9647.0,0.0,can't be too careful,,,,,16.0,60.0,,9647.0,,,female,38.0
18,30.0,2018,keeping house,,1.0,bachelor,60.0,yes,2,3.0,26.0,yes,no,very safe,yes,yes,,agree,,,yes,,,,1.0,53.0,73.0,,16.0,,65.0,,3.0,excellent,female,
601,30.0,2018,keeping house,,1.0,lt high school,40.0,yes,2,1.0,27.0,yes,yes,somewhat safe,yes,yes,too little,strongly agree,,,yes,12485.0,,,4.0,33.0,13.0,,11.0,31.0,,,8.0,poor,female,31.0
1147,30.0,2018,keeping house,,1.0,lt high school,45.0,yes,2,1.0,18.0,yes,no,very safe,yes,yes,about right,agree,,,no,24970.0,,can't be too careful,7.0,39.0,67.0,,12.0,24.0,,,3.0,good,female,28.0
1522,30.0,2018,keeping house,,3.0,lt high school,,yes,2,5.0,21.0,no,yes,somewhat safe,,,,,not legal,,,1589.0,0.0,can't be too careful,2.0,,,,10.0,,45.0,,4.0,,female,
1876,30.0,2018,keeping house,,1.0,lt high school,40.0,yes,2,4.0,18.0,no,no,somewhat safe,,,,agree,not legal,,no,14755.0,,can't be too careful,1.0,28.0,25.0,,6.0,,,,2.0,,female,
2061,30.0,2018,keeping house,,5.0,high school,,no,2,1.0,20.0,yes,yes,somewhat safe,,,,,legal,,,9647.0,8.0,can trust,,24.0,20.0,,14.0,35.0,35.0,,,,female,24.0
2231,30.0,2018,keeping house,,1.0,bachelor,40.0,no,2,4.0,24.0,yes,yes,very safe,,,about right,,legal,,,17025.0,20.0,can trust,,44.0,28.0,,17.0,25.0,47.0,,,excellent,female,53.0
1334,31.0,2018,working fulltime,86.0,3.0,graduate,,yes,1,6.0,20.0,yes,no,very safe,,,,,legal,3.0,,45400.0,0.0,can't be too careful,2.0,,,,14.0,,65.0,24970.0,5.0,,male,32.0
628,31.0,2018,working fulltime,50.0,5.0,graduate,,yes,2,2.0,30.0,no,yes,very safe,,,about right,,legal,1.0,,17025.0,0.0,can trust,,,,,20.0,69.0,59.0,17025.0,,good,female,69.0
1280,31.0,2018,working fulltime,50.0,5.0,high school,,yes,2,16.0,23.0,no,yes,somewhat safe,no,no,,agree,,4.0,no,2043.0,,,0.0,,,,12.0,,25.0,,2.0,,female,25.0
1782,31.0,2018,working fulltime,50.0,5.0,high school,,yes,2,6.0,21.0,yes,yes,somewhat safe,,,,,not legal,0.0,,12485.0,1.0,can't be too careful,,,,,12.0,64.0,65.0,9647.0,,,female,48.0
440,31.0,2018,working fulltime,45.0,5.0,high school,,no,2,5.0,,no,yes,very safe,,,,,legal,5.0,,17025.0,0.0,can't be too careful,,,,,14.0,48.0,31.0,17025.0,,excellent,female,38.0
1207,31.0,2018,working fulltime,45.0,3.0,high school,,yes,2,5.0,22.0,no,no,somewhat unsafe,,,,,legal,2.0,,14755.0,0.0,can't be too careful,,28.0,25.0,,14.0,39.0,44.0,,,,female,35.0
1287,31.0,2018,working fulltime,45.0,1.0,graduate,,,1,1.0,,no,yes,very safe,,,,,legal,5.0,,30645.0,1.0,can trust,,61.0,80.0,,18.0,53.0,54.0,14755.0,,,male,65.0
1175,31.0,2018,working fulltime,42.0,2.0,bachelor,,,1,,,yes,no,very safe,,,,,legal,7.0,,17025.0,2.0,can't be too careful,1.0,,,,16.0,,,17025.0,7.0,,male,49.0
260,31.0,2018,working fulltime,40.0,1.0,high school,,no,1,3.0,20.0,yes,yes,very safe,yes,yes,too much,agree,legal,2.0,no,30645.0,,can't be too careful,2.0,51.0,28.0,,12.0,30.0,38.0,30645.0,6.0,good,male,44.0
441,31.0,2018,working fulltime,40.0,1.0,graduate,,no,1,3.0,,yes,no,somewhat safe,,,,,not legal,2.0,,10782.0,0.0,can't be too careful,,,,,18.0,,26.0,10782.0,,,male,26.0
1123,31.0,2018,working fulltime,40.0,5.0,junior college,,yes,1,7.0,,yes,yes,very safe,yes,yes,,strongly agree,,8.0,yes,14755.0,,,2.0,,,,16.0,39.0,,14755.0,7.0,,male,56.0
1230,31.0,2018,working fulltime,40.0,5.0,junior college,,yes,2,6.0,20.0,no,yes,very safe,yes,no,,strongly agree,legal,0.0,yes,17025.0,,can trust,2.0,43.0,36.0,,15.0,,38.0,4086.0,7.0,good,female,64.0
1261,31.0,2018,working fulltime,40.0,5.0,bachelor,,yes,2,1.0,,no,yes,very safe,yes,yes,too little,agree,,2.0,yes,24970.0,,,1.0,,,,16.0,48.0,73.0,24970.0,5.0,excellent,female,48.0
1374,31.0,2018,working fulltime,40.0,1.0,high school,40.0,yes,2,0.0,26.0,no,yes,very safe,no,no,,agree,,1.0,yes,30645.0,,,2.0,39.0,38.0,,12.0,33.0,35.0,14755.0,6.0,excellent,female,64.0
1443,31.0,2018,working fulltime,40.0,5.0,bachelor,,yes,1,3.0,,yes,yes,very safe,,,about right,,legal,6.0,,20430.0,2.0,can't be too careful,,,,,16.0,61.0,,20430.0,,excellent,male,45.0
2175,31.0,2018,working fulltime,40.0,5.0,high school,,yes,2,2.0,23.0,yes,yes,somewhat safe,yes,yes,,agree,not legal,4.0,no,20430.0,,can trust,0.0,,,,12.0,41.0,60.0,20430.0,6.0,excellent,female,47.0
1387,31.0,2018,working fulltime,38.0,1.0,lt high school,32.0,no,1,,33.0,no,yes,somewhat unsafe,,,,agree,,,no,7377.0,,,1.0,21.0,14.0,,8.0,17.0,,5107.0,4.0,,male,31.0
299,31.0,2018,working fulltime,37.0,5.0,graduate,,yes,2,1.0,,no,yes,very safe,yes,yes,too much,strongly agree,,5.0,yes,30645.0,,,4.0,,,,20.0,64.0,72.0,30645.0,6.0,good,female,61.0
867,31.0,2018,working parttime,32.0,5.0,high school,,no,1,1.0,,yes,yes,somewhat unsafe,,,too little,,legal,5.0,,908.0,1.0,can't be too careful,,,,,15.0,63.0,63.0,908.0,,poor,male,45.0
480,31.0,2018,working parttime,30.0,5.0,high school,,yes,1,4.0,,no,yes,very safe,,,about right,,legal,4.0,,45400.0,2.0,can't be too careful,,,,,13.0,64.0,32.0,10782.0,,good,male,31.0
1034,31.0,2018,working parttime,30.0,4.0,bachelor,,yes,2,10.0,19.0,no,yes,somewhat safe,,,about right,,legal,8.0,,17025.0,0.0,can't be too careful,,,,,16.0,47.0,,17025.0,,good,female,38.0
1415,31.0,2018,working parttime,25.0,5.0,high school,,yes,2,7.0,,yes,yes,somewhat safe,yes,yes,too much,agree,,6.0,no,5107.0,,can't be too careful,8.0,,,,15.0,31.0,24.0,2497.0,4.0,good,female,48.0
1921,31.0,2018,working parttime,24.0,1.0,high school,40.0,yes,2,2.0,27.0,no,yes,somewhat unsafe,,,about right,,legal,8.0,,30645.0,2.0,can't be too careful,,40.0,49.0,,14.0,35.0,,,,,female,52.0
2154,31.0,2018,working parttime,13.0,1.0,high school,40.0,,2,3.0,29.0,no,yes,very safe,yes,yes,about right,strongly agree,legal,2.0,yes,37455.0,,can't be too careful,3.0,74.0,84.0,,14.0,28.0,32.0,,5.0,good,female,24.0
1083,31.0,2018,working parttime,6.0,5.0,lt high school,,yes,1,5.0,17.0,yes,no,very unsafe,,,,,legal,3.0,,20430.0,0.0,can't be too careful,3.0,25.0,12.0,,9.0,,44.0,12485.0,0.0,,male,44.0
819,31.0,2018,"unempl, laid off",,5.0,high school,,yes,1,2.0,,yes,no,somewhat safe,no,no,about right,strongly agree,legal,,no,3405.0,,can't be too careful,0.0,,,,12.0,,,,0.0,good,male,31.0
1713,31.0,2018,school,,5.0,junior college,,yes,1,1.0,,yes,yes,very safe,yes,yes,about right,agree,,,yes,24970.0,,,2.0,,,,14.0,48.0,32.0,,6.0,fair,male,62.0
329,31.0,2018,keeping house,,5.0,bachelor,,yes,2,3.0,,yes,yes,very safe,yes,yes,,strongly agree,,,yes,37455.0,,can trust,1.0,51.0,63.0,,17.0,47.0,,,8.0,good,female,61.0
490,31.0,2018,keeping house,,5.0,high school,,yes,2,1.0,20.0,no,yes,very safe,,,,,not legal,,,,1.0,depends,,,,,14.0,31.0,,,,,female,31.0
881,31.0,2018,keeping house,,1.0,bachelor,50.0,yes,2,1.0,28.0,no,yes,very safe,,,,,,,,37455.0,2.0,can trust,3.0,40.0,49.0,,17.0,64.0,28.0,20430.0,7.0,,female,51.0
1444,31.0,2018,keeping house,,5.0,bachelor,,yes,2,7.0,17.0,yes,yes,somewhat safe,yes,no,too little,disagree,,,yes,14755.0,,,0.0,,,,16.0,46.0,,,7.0,good,female,67.0
1483,31.0,2018,keeping house,,1.0,bachelor,,yes,2,0.0,,yes,yes,somewhat safe,,,,,legal,,,24970.0,20.0,can't be too careful,,,,,16.0,64.0,73.0,,,,female,63.0
1795,31.0,2018,keeping house,,5.0,high school,,yes,2,2.0,23.0,yes,yes,very safe,yes,yes,,disagree,,,no,4086.0,,,0.0,,,,13.0,50.0,45.0,,6.0,excellent,female,36.0
2307,31.0,2018,keeping house,,1.0,high school,,yes,2,16.0,,yes,yes,very safe,,,,,not legal,,,30645.0,2.0,can't be too careful,,35.0,26.0,,12.0,69.0,39.0,,,,female,
1533,32.0,2018,working fulltime,76.0,5.0,junior college,,yes,2,6.0,20.0,no,yes,somewhat safe,yes,yes,too much,agree,,3.0,yes,30645.0,,,1.0,,,,15.0,35.0,,20430.0,7.0,good,female,35.0
863,32.0,2018,working fulltime,70.0,1.0,high school,,no,1,2.0,25.0,yes,no,very safe,,,,,legal,4.0,,20430.0,1.0,can't be too careful,,,,,13.0,,53.0,,,,male,45.0
1583,32.0,2018,working fulltime,70.0,5.0,high school,,,1,1.0,24.0,no,yes,somewhat safe,,,,,legal,4.0,,24970.0,1.0,can't be too careful,,,,,12.0,74.0,,2043.0,,,male,35.0
1330,32.0,2018,working fulltime,64.0,1.0,high school,,no,1,3.0,26.0,yes,yes,very safe,yes,yes,too little,strongly agree,not legal,4.0,no,45400.0,,can trust,4.0,53.0,41.0,,12.0,21.0,42.0,30645.0,6.0,excellent,male,42.0
69,32.0,2018,working fulltime,55.0,5.0,graduate,,yes,2,1.0,,no,yes,somewhat safe,yes,yes,about right,disagree,,2.0,yes,63560.0,,,0.0,,,,19.0,58.0,49.0,63560.0,9.0,excellent,female,58.0
2308,32.0,2018,working fulltime,46.0,5.0,high school,,no,1,6.0,,no,yes,somewhat safe,yes,yes,about right,agree,,3.0,no,9647.0,,can't be too careful,3.0,,,,12.0,33.0,,9647.0,0.0,excellent,male,24.0
416,32.0,2018,working fulltime,45.0,1.0,bachelor,35.0,yes,1,2.0,26.0,yes,yes,very safe,yes,yes,too much,strongly agree,,1.0,no,119879.0,,,2.0,53.0,73.0,,16.0,47.0,72.0,151050.0,6.0,good,male,57.0
916,32.0,2018,working fulltime,45.0,1.0,high school,40.0,yes,2,2.0,30.0,no,yes,somewhat safe,yes,yes,,agree,,1.0,no,30645.0,,,1.0,60.0,87.0,,14.0,38.0,33.0,12485.0,6.0,good,female,46.0
1265,32.0,2018,working fulltime,45.0,5.0,bachelor,,no,2,0.0,,yes,yes,very safe,yes,yes,about right,strongly agree,legal,4.0,yes,45400.0,,can't be too careful,2.0,,,,16.0,33.0,39.0,45400.0,9.0,good,female,39.0
1266,32.0,2018,working fulltime,45.0,5.0,bachelor,,yes,1,1.0,,yes,yes,very safe,,,,,legal,3.0,,20430.0,0.0,can trust,2.0,17.0,45.0,,16.0,50.0,62.0,20430.0,7.0,,male,38.0
2227,32.0,2018,working fulltime,45.0,1.0,high school,60.0,yes,2,1.0,18.0,no,yes,very safe,no,no,,agree,,5.0,no,30645.0,,,1.0,44.0,52.0,,12.0,48.0,,12485.0,6.0,,female,40.0
978,32.0,2018,working fulltime,41.0,3.0,high school,,yes,2,5.0,22.0,yes,yes,very safe,yes,yes,about right,agree,legal,1.0,no,119879.0,,can trust,0.0,,,,13.0,21.0,38.0,151050.0,8.0,good,female,53.0
120,32.0,2018,working fulltime,40.0,5.0,high school,,no,1,5.0,,no,yes,very safe,yes,yes,,disagree,,5.0,yes,20430.0,,,4.0,31.0,19.0,,13.0,39.0,,20430.0,5.0,,male,44.0
434,32.0,2018,working fulltime,40.0,1.0,bachelor,40.0,yes,2,2.0,,yes,no,somewhat safe,,,,,,2.0,,17025.0,0.0,can trust,1.0,46.0,61.0,,16.0,31.0,49.0,7377.0,3.0,,female,49.0
811,32.0,2018,working fulltime,40.0,5.0,bachelor,,no,1,2.0,,no,no,somewhat safe,,,,,legal,5.0,,20430.0,1.0,can trust,,54.0,72.0,,16.0,38.0,73.0,20430.0,,,male,73.0
1263,32.0,2018,working fulltime,40.0,1.0,bachelor,10.0,no,2,0.0,,yes,yes,very safe,,,about right,,legal,4.0,,30645.0,3.0,depends,,38.0,59.0,,16.0,,72.0,12485.0,,good,female,71.0
1555,32.0,2018,working fulltime,40.0,1.0,bachelor,80.0,yes,2,1.0,,no,yes,somewhat safe,,,too much,,,4.0,,119879.0,1.0,can't be too careful,,72.0,77.0,,16.0,47.0,24.0,20430.0,,excellent,female,53.0
1807,32.0,2018,working fulltime,40.0,1.0,bachelor,72.0,yes,2,2.0,24.0,no,yes,very safe,,,,,not legal,3.0,,30645.0,,can trust,,39.0,67.0,,16.0,55.0,60.0,,,,female,61.0
1966,32.0,2018,working fulltime,40.0,1.0,high school,40.0,yes,2,3.0,18.0,yes,no,somewhat safe,yes,yes,too much,agree,,4.0,no,30645.0,,,1.0,38.0,52.0,,13.0,,27.0,20430.0,5.0,excellent,female,40.0
1972,32.0,2018,working fulltime,40.0,5.0,high school,,no,1,2.0,,no,yes,somewhat safe,,,,,legal,4.0,,37455.0,1.0,can trust,,38.0,59.0,,16.0,,80.0,14755.0,,,male,49.0
1984,32.0,2018,working fulltime,40.0,5.0,bachelor,,yes,2,1.0,31.0,no,yes,somewhat unsafe,yes,yes,about right,strongly agree,legal,3.0,yes,20430.0,,can trust,1.0,63.0,81.0,,16.0,47.0,,12485.0,7.0,excellent,female,59.0
2228,32.0,2018,working fulltime,40.0,5.0,lt high school,,no,1,13.0,26.0,no,yes,very safe,,,too little,,legal,5.0,,17025.0,1.0,can trust,,39.0,20.0,,11.0,72.0,42.0,17025.0,,good,male,49.0
464,32.0,2018,working fulltime,37.0,5.0,bachelor,,yes,1,7.0,28.0,no,yes,somewhat safe,yes,yes,about right,strongly agree,legal,2.0,yes,30645.0,,can't be too careful,4.0,55.0,37.0,,16.0,39.0,,17025.0,5.0,excellent,male,28.0
692,32.0,2018,working fulltime,37.0,3.0,high school,,no,2,7.0,26.0,no,yes,very safe,yes,yes,too much,agree,legal,0.0,no,10782.0,,can't be too careful,2.0,,,,14.0,28.0,,8512.0,6.0,good,female,31.0
2155,32.0,2018,working fulltime,37.0,5.0,high school,,yes,2,0.0,,no,yes,somewhat safe,,,,,legal,3.0,,12485.0,3.0,can't be too careful,7.0,25.0,12.0,,12.0,33.0,,9647.0,4.0,,female,24.0
1418,32.0,2018,working fulltime,35.0,5.0,lt high school,,no,2,4.0,21.0,no,yes,somewhat safe,yes,no,about right,strongly agree,,8.0,no,1589.0,,,2.0,,,,10.0,30.0,,,4.0,,female,25.0
1538,32.0,2018,working fulltime,30.0,5.0,lt high school,,yes,2,4.0,18.0,no,yes,somewhat safe,yes,yes,too little,agree,legal,3.0,no,227.0,,can't be too careful,3.0,,,,9.0,32.0,25.0,227.0,2.0,good,female,50.0
482,32.0,2018,working parttime,30.0,1.0,high school,25.0,yes,2,3.0,,no,yes,very safe,yes,yes,too little,agree,legal,2.0,yes,24970.0,,can't be too careful,2.0,49.0,56.0,,15.0,51.0,45.0,8512.0,7.0,excellent,female,30.0
1422,32.0,2018,working parttime,30.0,5.0,high school,,yes,2,3.0,18.0,no,yes,somewhat safe,,,too much,,legal,5.0,,6242.0,1.0,can't be too careful,,22.0,17.0,,14.0,61.0,24.0,,,good,female,48.0
971,32.0,2018,working parttime,25.0,1.0,high school,40.0,yes,1,1.0,22.0,no,yes,somewhat unsafe,,,,,legal,3.0,,30645.0,1.0,can't be too careful,,32.0,38.0,,16.0,,49.0,30645.0,,,male,48.0
1560,32.0,2018,working parttime,24.0,5.0,junior college,,yes,2,5.0,19.0,yes,yes,somewhat safe,,,,,not legal,0.0,,8512.0,0.0,can't be too careful,2.0,,,,14.0,35.0,62.0,8512.0,6.0,,female,32.0
673,32.0,2018,working parttime,20.0,3.0,high school,,no,1,3.0,21.0,yes,yes,very safe,yes,yes,too little,agree,legal,4.0,no,10782.0,,can trust,0.0,,,,12.0,45.0,43.0,,6.0,good,male,35.0
363,32.0,2018,working parttime,10.0,1.0,high school,60.0,yes,2,1.0,24.0,yes,yes,very safe,yes,yes,too much,agree,legal,4.0,yes,24970.0,,can't be too careful,1.0,44.0,28.0,,14.0,47.0,44.0,,7.0,excellent,female,37.0
1117,32.0,2018,temp not working,,5.0,high school,,yes,2,10.0,23.0,yes,yes,somewhat safe,yes,yes,about right,agree,,1.0,yes,12485.0,,,3.0,,,,15.0,35.0,,10782.0,5.0,good,female,36.0
1478,32.0,2018,temp not working,,5.0,junior college,,yes,2,7.0,24.0,no,yes,,,,,,,0.0,,8512.0,0.0,can't be too careful,,45.0,62.0,,16.0,48.0,,6242.0,,good,female,38.0
1206,32.0,2018,"unempl, laid off",,5.0,graduate,,yes,2,1.0,,yes,yes,somewhat safe,,,,,not legal,,,14755.0,1.0,can trust,3.0,74.0,84.0,,18.0,,63.0,2043.0,7.0,,female,51.0
1867,32.0,2018,"unempl, laid off",,4.0,lt high school,,no,2,6.0,16.0,yes,yes,very safe,no,no,,disagree,,,no,2043.0,,,0.0,,,,9.0,21.0,,,3.0,,female,28.0
443,32.0,2018,school,,5.0,bachelor,,,2,0.0,,yes,no,somewhat safe,,,,,legal,,,,1.0,can't be too careful,1.0,,,,17.0,45.0,44.0,,9.0,,female,39.0
99,32.0,2018,keeping house,,1.0,high school,60.0,yes,2,6.0,22.0,yes,no,somewhat safe,,,,,legal,,,,1.0,can't be too careful,,66.0,72.0,,12.0,,61.0,,,,female,
575,32.0,2018,keeping house,,5.0,junior college,,yes,2,6.0,21.0,no,yes,somewhat unsafe,,,too much,,legal,,,5107.0,1.0,can't be too careful,,,,,14.0,48.0,,908.0,,fair,female,38.0
1063,32.0,2018,keeping house,,1.0,high school,50.0,yes,2,3.0,24.0,yes,yes,somewhat safe,yes,no,about right,strongly agree,,,yes,24970.0,,,1.0,44.0,36.0,,14.0,24.0,,,7.0,excellent,female,47.0
1252,32.0,2018,keeping house,,1.0,lt high school,40.0,yes,2,3.0,31.0,yes,no,very safe,,,,,legal,,,,0.0,can trust,,35.0,26.0,,12.0,,42.0,227.0,,,female,22.0
1626,32.0,2018,keeping house,,5.0,high school,,,2,8.0,20.0,yes,yes,very safe,yes,no,,disagree,,,yes,9647.0,,,0.0,,,,15.0,35.0,25.0,9647.0,5.0,good,female,32.0
489,33.0,2018,working fulltime,60.0,1.0,lt high school,36.0,no,1,3.0,17.0,yes,no,very safe,no,no,about right,agree,legal,1.0,no,24970.0,,can't be too careful,1.0,35.0,21.0,,12.0,,33.0,14755.0,4.0,,male,25.0
662,33.0,2018,working fulltime,60.0,5.0,high school,,yes,1,2.0,,yes,yes,very safe,yes,yes,about right,agree,,3.0,yes,24970.0,,,1.0,,,,13.0,32.0,,,5.0,excellent,male,39.0
696,33.0,2018,working fulltime,60.0,5.0,high school,,,1,2.0,,no,no,very safe,yes,yes,,strongly agree,,4.0,no,14755.0,,,1.0,51.0,71.0,,12.0,40.0,36.0,12485.0,5.0,,male,35.0
2098,33.0,2018,working fulltime,56.0,5.0,junior college,,yes,2,3.0,16.0,yes,yes,very safe,,,,,legal,,,119879.0,,can't be too careful,,,,,14.0,31.0,49.0,14755.0,,,female,39.0
454,33.0,2018,working fulltime,55.0,5.0,bachelor,,yes,2,3.0,,no,yes,somewhat safe,,,,,legal,3.0,,119879.0,0.0,can't be too careful,,53.0,80.0,,16.0,61.0,35.0,24970.0,,,female,61.0
1889,33.0,2018,working fulltime,55.0,1.0,high school,,yes,1,1.0,24.0,no,yes,somewhat unsafe,yes,yes,too much,agree,,5.0,no,45400.0,,,3.0,40.0,41.0,,12.0,47.0,44.0,30645.0,4.0,excellent,male,45.0
1097,33.0,2018,working fulltime,50.0,1.0,high school,45.0,yes,1,4.0,,no,yes,somewhat unsafe,,,about right,,legal,5.0,,63560.0,4.0,can trust,,64.0,71.0,,14.0,49.0,61.0,20430.0,,,male,33.0
1174,33.0,2018,working fulltime,50.0,1.0,bachelor,40.0,yes,2,2.0,15.0,no,yes,very safe,,,,,legal,11.0,,63560.0,0.0,can't be too careful,,48.0,54.0,,18.0,38.0,,30645.0,,good,female,64.0
1479,33.0,2018,working fulltime,50.0,5.0,bachelor,,yes,1,1.0,,yes,yes,somewhat safe,,,,,legal,6.0,,37455.0,0.0,can trust,1.0,,,,16.0,40.0,62.0,37455.0,4.0,,male,60.0
2162,33.0,2018,working fulltime,50.0,5.0,graduate,,yes,1,1.0,,yes,yes,somewhat safe,,,,,legal,1.0,,37455.0,1.0,can't be too careful,1.0,,,,19.0,48.0,,37455.0,8.0,,male,69.0
2207,33.0,2018,working fulltime,50.0,1.0,graduate,70.0,yes,2,7.0,29.0,no,yes,somewhat safe,,,,,legal,2.0,,63560.0,0.0,can't be too careful,,63.0,63.0,,20.0,31.0,49.0,20430.0,,good,female,61.0
220,33.0,2018,working fulltime,45.0,1.0,high school,40.0,yes,2,3.0,32.0,yes,no,somewhat safe,,,,,not legal,4.0,,17025.0,1.0,can't be too careful,,35.0,32.0,,12.0,25.0,37.0,17025.0,,,female,47.0
510,33.0,2018,working fulltime,45.0,1.0,bachelor,45.0,yes,2,2.0,30.0,no,no,very safe,yes,yes,,agree,not legal,2.0,yes,72640.0,,can trust,1.0,73.0,84.0,,16.0,64.0,47.0,45400.0,6.0,excellent,female,60.0
1534,33.0,2018,working parttime,45.0,5.0,lt high school,,yes,1,3.0,25.0,no,yes,somewhat safe,yes,no,about right,agree,not legal,5.0,no,54480.0,,can't be too careful,8.0,,,,10.0,38.0,35.0,6242.0,6.0,good,male,37.0
501,33.0,2018,working fulltime,44.0,1.0,high school,,yes,1,2.0,,yes,no,very safe,yes,yes,too little,strongly agree,legal,3.0,no,37455.0,,depends,2.0,43.0,57.0,,12.0,46.0,31.0,37455.0,5.0,excellent,male,32.0
1638,33.0,2018,working fulltime,44.0,1.0,bachelor,44.0,no,1,1.0,29.0,no,yes,very safe,,,,,legal,4.0,,45400.0,3.0,can't be too careful,1.0,39.0,60.0,,17.0,45.0,63.0,17025.0,4.0,,male,60.0
258,33.0,2018,working fulltime,40.0,5.0,bachelor,,,2,2.0,,yes,yes,very safe,yes,no,about right,strongly agree,,4.0,yes,24970.0,,,0.0,,,,16.0,48.0,35.0,,8.0,excellent,female,48.0
308,33.0,2018,working fulltime,40.0,5.0,lt high school,,,1,7.0,,yes,no,very safe,,,,,,4.0,,,0.0,depends,,,,,8.0,,,,,,male,36.0
708,33.0,2018,working fulltime,40.0,5.0,high school,,yes,1,1.0,,no,yes,somewhat safe,yes,yes,,agree,,6.0,no,37455.0,,,2.0,,,,12.0,44.0,,37455.0,6.0,,male,37.0
1084,33.0,2018,working fulltime,40.0,1.0,high school,40.0,yes,2,5.0,16.0,no,yes,somewhat unsafe,,,,,legal,4.0,,12485.0,2.0,can't be too careful,,18.0,27.0,,13.0,,36.0,12485.0,,,female,38.0
1143,33.0,2018,working fulltime,40.0,5.0,high school,,,1,3.0,,yes,yes,somewhat safe,yes,yes,,agree,,4.0,yes,9647.0,,,0.0,,,,12.0,61.0,,9647.0,9.0,,male,45.0
